id;family;domain;nature;name;search_word
1;migration Incredible Plastic Towels HDD;Berkshire deposit programming;Investment Account South Dakota hard drive;Tactics;Soft Beauty
2;copying;optical;benchmark back-end Mouse;synergy;back up
3;Neck Buckinghamshire Money Market Account;deliverables Dalasi;Kids logistical;Turkmenistan Iceland Krona;Latvia Sleek
4;tertiary;innovative Savings Account Money Market Account;Frozen Money Market Account Assurance;Phased synergize;Chicken Mexico Legacy
5;withdrawal input;Producer Wooden;Buckinghamshire upward-trending lavender;national Electronics Underpass;programming
6;disintermediate capability;Hryvnia Awesome Cotton Table;Silver Balboa US Dollar;Program;calculate bluetooth Cambridgeshire
7;eyeballs Rubber;frame;Generic deposit applications;Operations Iceland Krona Fantastic;Handcrafted stable
8;Paradigm;Plastic Forward Small;logistical;Chips innovative;program orchid
9;networks Computer;EXE infomediaries;transmitter;invoice Car IB;salmon implement Awesome Concrete Gloves
10;Incredible Up-sized e-business;synergies Svalbard & Jan Mayen Islands Response;Connecticut mobile connecting;Handcrafted;Handmade sensor
