id;name;logo;logo_content_type
1;Fantastic;../fake-data/blob/hipster.png;image/png
2;deploy Bedfordshire;../fake-data/blob/hipster.png;image/png
3;quantifying;../fake-data/blob/hipster.png;image/png
4;Automotive;../fake-data/blob/hipster.png;image/png
5;Music Compatible SMTP;../fake-data/blob/hipster.png;image/png
6;Kids North Dakota e-commerce;../fake-data/blob/hipster.png;image/png
7;Licensed Metal Chair Agent;../fake-data/blob/hipster.png;image/png
8;backing up Checking Account;../fake-data/blob/hipster.png;image/png
9;deposit Principal;../fake-data/blob/hipster.png;image/png
10;Identity;../fake-data/blob/hipster.png;image/png
